dict_id,sheet_name,column_name,data_type,allowed_values,description,required,primary_key,foreign_key_to,example_value
dict_000081,glossary,term,string,,Column term in glossary.,False,False,,
dict_000082,glossary,expansion,string,,Column expansion in glossary.,False,False,,
dict_000083,glossary,definition,string,,Column definition in glossary.,False,False,,
dict_000084,glossary,preferred_term_flag,string,,Column preferred_term_flag in glossary.,False,False,,
dict_000085,glossary,level_scope,string,,Column level_scope in glossary.,False,False,,
dict_000086,glossary,notes,string,,Column notes in glossary.,False,False,,
dict_000087,skills,skill_id,string,,Column skill_id in skills.,True,True,,
dict_000088,skills,taxonomy_id,string,,Column taxonomy_id in skills.,False,False,,
dict_000089,skills,title,string,,Column title in skills.,False,False,,
dict_000090,skills,level_min,string,,Column level_min in skills.,False,False,,
dict_000091,skills,indications,string,,Column indications in skills.,False,False,,
dict_000092,skills,contraindications,string,,Column contraindications in skills.,False,False,,
dict_000093,skills,equipment_needed,string,,Column equipment_needed in skills.,False,False,,
dict_000094,skills,preparation_steps,string,,Column preparation_steps in skills.,False,False,,
dict_000095,skills,critical_fail_points,string,,Column critical_fail_points in skills.,False,False,,
dict_000096,skills,safety_points,string,,Column safety_points in skills.,False,False,,
dict_000097,skills,reassessment_points,string,,Column reassessment_points in skills.,False,False,,
dict_000098,skills,documentation_points,string,,Column documentation_points in skills.,False,False,,
dict_000099,skills,psychomotor_complexity,string,,Column psychomotor_complexity in skills.,False,False,,
dict_000100,skills,verification_status,string,,Column verification_status in skills.,False,False,,
dict_000101,skill_steps,skill_step_id,string,,Column skill_step_id in skill_steps.,True,True,,
dict_000102,skill_steps,skill_id,string,,Column skill_id in skill_steps.,False,False,,
dict_000103,skill_steps,step_order,string,,Column step_order in skill_steps.,False,False,,
dict_000104,skill_steps,action_text,string,,Column action_text in skill_steps.,False,False,,
dict_000105,skill_steps,must_complete,string,,Column must_complete in skill_steps.,False,False,,
dict_000106,skill_steps,branch_if_failed,string,,Column branch_if_failed in skill_steps.,False,False,,
dict_000107,skill_steps,media_hint,string,,Column media_hint in skill_steps.,False,False,,
dict_000108,drug_classes,drug_class_id,string,,Column drug_class_id in drug_classes.,True,True,,
dict_000109,drug_classes,class_name,string,,Column class_name in drug_classes.,False,False,,
dict_000110,drug_classes,description,string,,Column description in drug_classes.,False,False,,
dict_000111,drug_classes,common_examples,string,,Column common_examples in drug_classes.,False,False,,
dict_000112,drug_classes,notes,string,,Column notes in drug_classes.,False,False,,
dict_000113,drugs,drug_id,string,,Column drug_id in drugs.,True,True,,
dict_000114,drugs,drug_class_id,string,,Column drug_class_id in drugs.,False,False,,
dict_000115,drugs,generic_name,string,,Column generic_name in drugs.,False,False,,
dict_000116,drugs,brand_names,string,,Column brand_names in drugs.,False,False,,
dict_000117,drugs,class_name,string,,Column class_name in drugs.,False,False,,
dict_000118,drugs,level_min,string,,Column level_min in drugs.,False,False,,
dict_000119,drugs,indications,string,,Column indications in drugs.,False,False,,
dict_000120,drugs,contraindications,string,,Column contraindications in drugs.,False,False,,
dict_000121,drugs,adult_dose_text,string,,Column adult_dose_text in drugs.,False,False,,
dict_000122,drugs,paediatric_dose_text,string,,Column paediatric_dose_text in drugs.,False,False,,
dict_000123,drugs,route_text,string,,Column route_text in drugs.,False,False,,
dict_000124,drugs,repeat_dose_rules,string,,Column repeat_dose_rules in drugs.,False,False,,
dict_000125,drugs,onset_text,string,,Column onset_text in drugs.,False,False,,
dict_000126,drugs,duration_text,string,,Column duration_text in drugs.,False,False,,
dict_000127,drugs,adverse_effects,string,,Column adverse_effects in drugs.,False,False,,
dict_000128,drugs,monitoring,string,,Column monitoring in drugs.,False,False,,
dict_000129,drugs,protocol_variation_note,string,,Column protocol_variation_note in drugs.,False,False,,
dict_000130,drugs,verification_status,string,,Column verification_status in drugs.,False,False,,
dict_000131,ecg_bank,ecg_id,string,,Column ecg_id in ecg_bank.,True,True,,
dict_000132,ecg_bank,taxonomy_id,string,,Column taxonomy_id in ecg_bank.,False,False,,
dict_000133,ecg_bank,rhythm_name,string,,Column rhythm_name in ecg_bank.,False,False,,
